Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/15/17,"Place in Chelsea, New York",2017-09-15T13:17:28-04:00,2017-09-15T16:53:11-04:00,12943,40.742327,-74.004263,,
9/15/17,Place in BoCoCa,2017-09-15T17:09:51-04:00,2017-09-15T17:19:57-04:00,606,40.686236,-73.9907,,
9/15/17,"Place in Greenwood Heights, Brooklyn",2017-09-15T17:37:17-04:00,2017-09-16T00:00:00-04:00,22963,40.66419,-73.991622,,
9/16/17,"Place in Greenwood Heights, Brooklyn",2017-09-16T00:00:00-04:00,2017-09-16T14:34:16-04:00,52456,40.66419,-73.991622,,
9/16/17,"Place in North Slope, Brooklyn",2017-09-16T14:48:12-04:00,2017-09-16T16:01:20-04:00,4388,40.679997,-73.974895,,
9/16/17,Place in BoCoCa,2017-09-16T16:28:13-04:00,2017-09-16T18:04:07-04:00,5754,40.686769,-73.99377,,
9/16/17,"Place in Carroll Gardens, Brooklyn",2017-09-16T18:23:22-04:00,2017-09-16T20:54:14-04:00,9052,40.677342,-73.998118,,
9/16/17,"Place in Gowanus, Brooklyn",2017-09-16T21:03:04-04:00,2017-09-17T00:00:00-04:00,10616,40.673679,-73.99183,,
9/17/17,"Place in Gowanus, Brooklyn",2017-09-17T00:00:00-04:00,2017-09-17T00:13:27-04:00,807,40.673679,-73.99183,,
9/17/17,"Place in Greenwood Heights, Brooklyn",2017-09-17T00:14:27-04:00,2017-09-17T07:59:18-04:00,27891,40.66419,-73.991622,,
9/17/17,"Place in Greenwood Heights, Brooklyn",2017-09-17T09:52:55-04:00,2017-09-18T00:00:00-04:00,50825,40.663916,-73.991819,,
9/18/17,"Place in Greenwood Heights, Brooklyn",2017-09-18T00:00:00-04:00,2017-09-18T09:52:55-04:00,35575,40.663916,-73.991819,,
9/18/17,"Place in Little Italy, New York",2017-09-18T10:37:18-04:00,2017-09-18T11:09:14-04:00,1916,40.719776,-73.998395,,
9/18/17,"Place in Jackson Heights, New York",2017-09-18T11:35:17-04:00,2017-09-18T11:51:04-04:00,947,40.750067,-73.88842,,
9/18/17,"Place in Jackson Heights, New York",2017-09-18T12:00:03-04:00,2017-09-18T12:06:08-04:00,365,40.746717,-73.891359,,
9/18/17,"Place in SoHo, New York",2017-09-18T12:38:52-04:00,2017-09-18T16:05:06-04:00,12374,40.725592,-74.003882,,
9/18/17,"Place in Greenwood Heights, Brooklyn",2017-09-18T16:44:18-04:00,2017-09-19T00:00:00-04:00,26142,40.66419,-73.991622,,
9/19/17,"Place in Greenwood Heights, Brooklyn",2017-09-19T00:00:00-04:00,2017-09-19T05:56:32-04:00,21392,40.66419,-73.991622,,
9/19/17,Place in BoCoCa,2017-09-19T06:01:44-04:00,2017-09-19T06:57:15-04:00,3331,40.683955,-73.995004,,
9/19/17,"Place in Greenwood Heights, Brooklyn",2017-09-19T07:19:06-04:00,2017-09-19T08:51:18-04:00,5532,40.66419,-73.991622,,
9/19/17,"Place in Gowanus, Brooklyn",2017-09-19T08:57:01-04:00,2017-09-19T09:00:40-04:00,219,40.670062,-73.989069,,
9/19/17,"Place in Chelsea, New York",2017-09-19T09:30:42-04:00,2017-09-19T17:17:11-04:00,27989,40.742346,-74.005016,,
9/19/17,"Place in Meatpacking District, New York",2017-09-19T17:25:23-04:00,2017-09-19T20:45:00-04:00,11977,40.740643,-74.008403,,
9/19/17,"Place in South Slope, Brooklyn",2017-09-19T21:17:28-04:00,2017-09-20T00:00:00-04:00,9752,40.664461,-73.991579,,
9/20/17,"Place in South Slope, Brooklyn",2017-09-20T00:00:00-04:00,2017-09-20T08:49:04-04:00,31744,40.664461,-73.991579,,
9/20/17,"Place in Gowanus, Brooklyn",2017-09-20T08:57:41-04:00,2017-09-20T09:04:06-04:00,385,40.670495,-73.990245,,
9/20/17,"Place in Greenwich Village, New York",2017-09-20T09:38:12-04:00,2017-09-20T12:58:21-04:00,12009,40.729779,-73.995192,,
9/20/17,"Place in Greenwich Village, New York",2017-09-20T13:01:21-04:00,2017-09-20T13:25:56-04:00,1475,40.728918,-73.997989,,
9/20/17,"Place in Greenwich Village, New York",2017-09-20T13:29:30-04:00,2017-09-20T16:01:58-04:00,9148,40.729634,-73.99573,,
9/20/17,"Place in Greenwich Village, New York",2017-09-20T16:08:21-04:00,2017-09-20T22:23:52-04:00,22531,40.729285,-73.998456,,
9/20/17,"Place in Greenwood Heights, Brooklyn",2017-09-20T22:43:13-04:00,2017-09-21T00:00:00-04:00,4607,40.66419,-73.991622,,
9/21/17,"Place in Greenwood Heights, Brooklyn",2017-09-21T00:00:00-04:00,2017-09-21T05:45:09-04:00,20709,40.66419,-73.991622,,
9/21/17,"Place in Queens, New York",2017-09-21T06:05:31-04:00,2017-09-21T08:17:19-04:00,7908,40.771381,-73.865781,,
9/21/17,"Place in Chinatown, Boston",2017-09-21T08:36:25-04:00,2017-09-21T09:39:39-04:00,3794,42.351575,-71.062973,,
9/21/17,"Place in Massachusetts Institute of Technology, Cambridge",2017-09-21T10:01:19-04:00,2017-09-22T00:00:00-04:00,50321,42.360758,-71.086238,,
9/22/17,"Place in Massachusetts Institute of Technology, Cambridge",2017-09-22T00:00:00-04:00,2017-09-22T06:41:06-04:00,24066,42.360758,-71.086238,,
9/22/17,Place in Quincy,2017-09-22T06:54:20-04:00,2017-09-22T07:02:28-04:00,488,42.233313,-71.007008,,
9/22/17,"Place in Massachusetts Institute of Technology, Cambridge",2017-09-22T07:57:09-04:00,2017-09-22T13:56:26-04:00,21557,42.361194,-71.087552,,
9/22/17,Place in Weymouth,2017-09-22T16:25:45-04:00,2017-09-22T20:15:06-04:00,13761,42.215933,-70.930749,,
9/22/17,Place in Weymouth,2017-09-22T20:26:01-04:00,2017-09-22T20:36:44-04:00,643,42.215933,-70.930749,,
9/22/17,Place in Weymouth,2017-09-22T20:36:44-04:00,2017-09-23T00:00:00-04:00,12196,42.216691,-70.930073,,
9/23/17,Place in Weymouth,2017-09-23T00:00:00-04:00,2017-09-23T10:23:15-04:00,37395,42.216691,-70.930073,,
9/23/17,Place in East Weymouth,2017-09-23T10:39:55-04:00,2017-09-23T10:44:00-04:00,245,42.181013,-70.899962,,
9/23/17,Place in Norwell,2017-09-23T10:49:30-04:00,2017-09-23T13:14:33-04:00,8703,42.172716,-70.883521,,
9/24/17,"Place in Greenwood Heights, Brooklyn",2017-09-24T10:05:00-04:00,2017-09-25T00:00:00-04:00,50100,40.663916,-73.991819,,
9/25/17,"Place in Greenwood Heights, Brooklyn",2017-09-25T00:00:00-04:00,2017-09-25T08:21:54-04:00,30114,40.663916,-73.991819,,
9/26/17,"Place in Flatiron District, New York",2017-09-26T11:52:14-04:00,2017-09-26T15:38:30-04:00,13576,40.73814,-73.992942,,
9/26/17,"Place in Flatiron District, New York",2017-09-26T15:46:41-04:00,2017-09-26T15:52:06-04:00,325,40.73773,-73.996361,,
9/26/17,Place in New York,2017-09-26T17:57:57-04:00,2017-09-26T20:23:41-04:00,8744,40.67682,-74.019591,,
9/26/17,"Place in South Slope, Brooklyn",2017-09-26T20:35:23-04:00,2017-09-27T00:00:00-04:00,12277,40.664461,-73.991579,,
9/27/17,"Place in South Slope, Brooklyn",2017-09-27T00:00:00-04:00,2017-09-27T08:26:11-04:00,30371,40.664461,-73.991579,,
9/27/17,"Place in Flatiron, New York",2017-09-27T09:08:14-04:00,2017-09-27T09:15:10-04:00,416,40.736716,-73.990566,,
9/27/17,"Place in Flatiron District, New York",2017-09-27T09:19:32-04:00,2017-09-27T16:10:24-04:00,24652,40.738637,-73.993908,,
